# Evidence signatures. An instrument counts as USED only when one of these matches.
#
# tier 1 tool_output        literal native output a real run emits. A lane cannot write
#                           "[Worker 3] New coverage: 4189 instr" without running echidna.
# tier 2 artifact_footprint files or directories only a real run creates.
# tier 3 action_log         a structured action-log record carrying BOTH a command and an
#                           exit code. Lane-attested, so it is the weakest tier and is
#                           labeled as such in every report.
#
# There is deliberately NO tier that matches a bare tool name in prose. That is structural,
# not a blocklist: an arsenal list in a dispatch plan contains no tool output, creates no
# corpus directory, and carries no exit code, so it cannot match anything here. The control
# suite pins that property with a fixture that names all three fuzzers and must score MISSED.
#
# kind: line_regex (file contents) | path_regex (campaign-relative path) | cmd_regex (action-log command)
# flags: i = case-insensitive, empty = case-sensitive
instrument_id	tier	kind	flags	pattern	note
clippy	1	line_regex		\d+ warnings? emitted	Clippy/rustc diagnostic summary.
clippy	3	cmd_regex		cargo\s+clippy	Invocation recorded in an action log.
radar	2	path_regex		radar[^/]*/(evidence|findings|out)/	Radar scan output directory.
radar	3	cmd_regex		(scan-local\.sh|auditware.?radar)	Sanctioned Radar entry point.
radare2	1	line_regex		^(class|arch|bintype)\s+\S+	radare2 iI header fields.
radare2	3	cmd_regex		(^|[\s/])(radare2|r2)\s+-	Invocation recorded in an action log.
cast-selectors	1	line_regex		^0x[0-9a-fA-F]{8}\s+\w+\(	Selector-to-signature row from cast selectors.
cast-selectors	3	cmd_regex		cast\s+(selectors|4byte|disassemble)	ABI/opcode recovery invocation.
opcode-census	2	path_regex		(opcode|selector)[^/]*census[^/]*\.(json|md|txt|tsv)$	Committed census artifact.
opcode-census	1	line_regex	i	opcode census	Named census result in an artifact.
cast-deployed	1	line_regex		eth_getStorageAt	Raw storage read against a live node.
cast-deployed	3	cmd_regex		cast\s+(storage|code|call)\s	Deployed-state read invocation.
fork-rpc	1	line_regex		--fork-url\s+\S+	Forked-state test invocation captured in output.
fork-rpc	3	cmd_regex		--fork-url	Fork-mode invocation recorded in an action log.
solana-rpc	3	cmd_regex		(solana\s+(account|program\s+show)|getAccountInfo|getProgramAccounts)	Live Solana state read.
cosmos-rpc	3	cmd_regex		(cosmos|gaiad|simd)\s+(query|q)\s	Live Cosmos state read.
deployed-probe	3	cmd_regex		(curl|httpx)\s[^\n]*https?://	Live instance probe.
source-citation	1	line_regex		\S+\.(sol|rs|go)[:#]L?\d+	A citation into target source with a concrete line number.
differential-harness	1	line_regex		\[(PASS|FAIL)\][^\n]*([Dd]ifferential|[Ss]ibling|[Pp]arity|[Tt]win)	Differential test result line.
differential-harness	1	line_regex		check_\w*([Pp]arity|[Dd]ivergence)	Differential property name in tool output.
differential-harness	2	path_regex		([Dd]ifferential|[Ss]ibling|divergence)[^/]*\.(sol|rs|md|json)$	Committed differential harness or report.
econ-artifact	2	path_regex		(money-flow|econ|economic|payout|cost-model)[^/]*\.(md|json)$	Committed economic analysis artifact.
econ-artifact	1	line_regex	i	(attacker cycle|cost to attack|net profit|money flow|value flow)	Explicit economic modeling language in an artifact.
cargo-audit	1	line_regex		(\d+ vulnerabilit(y|ies) found|No vulnerable packages found)	cargo-audit verdict line.
cargo-audit	3	cmd_regex		cargo\s+audit	Invocation recorded in an action log.
cargo-geiger	3	cmd_regex		cargo\s+geiger	Unsafe-surface census invocation.
npm-audit	1	line_regex		\d+ vulnerabilities \(	npm/yarn audit summary.
npm-audit	3	cmd_regex		(npm|yarn|pnpm)\s+audit	Invocation recorded in an action log.
forge-deps	3	cmd_regex		forge\s+(install|update|tree)	Dependency provenance invocation.
gosec	1	line_regex		Issues\s*:\s*\d+	gosec run summary.
gosec	3	cmd_regex		(^|[\s/])gosec\s	Invocation recorded in an action log.
staticcheck	3	cmd_regex		(^|[\s/])staticcheck\s	Invocation recorded in an action log.
go-fuzz	1	line_regex		fuzz: elapsed: \S+, execs: \d+	Go native fuzzing progress line.
go-fuzz	3	cmd_regex		go\s+test[^\n]*-fuzz	Go fuzzing invocation.
go-test	1	line_regex		^(ok|FAIL)\s+\S+\s+\d+\.\d+s	Go test package result line.
go-test	3	cmd_regex		go\s+test	Invocation recorded in an action log.
go-audit	3	cmd_regex		(govulncheck|go\s+list\s+-m)	Go dependency provenance invocation.
generic-harness	1	line_regex	i	(reproduc(ed|tion) confirmed|poc (succeeded|reproduced))	Explicit reproduction statement tied to a run.
generic-audit	3	cmd_regex		(pip-audit|npm\s+audit|cargo\s+audit|govulncheck)	Generic dependency audit invocation.
