specialist	source_namespace	capability_class	safety_level	safety_tags	tool_profile	primary_lane	primary_profile	backup_lane	backup_profile	escalate_lane	escalate_profile	escalation_policy	review_lane	review_profile	anti_affinity	throughput_lane	throughput_profile	throughput_policy	failover_policy	operator_gate	heightened_risk	requires_approval	required_tools	preferred_tools	notes	tags	version	operator_model_consult
data-extraction-engineer	research	extraction	medium	[]	none	codex	codex.sol.high	claude	claude.opus5.high	codex	codex.sol.ultra	escalation.signal.v1	claude	claude.opus5.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Parser and schema engineering is Codex-primary; Kimi is the bulk backup and Claude reviews extraction judgment. Apify requires target authorization and an explicit spend ceiling; Google Drive uses a controller handoff until squad-lane access is verified.	[]	2.0	false
database-engineer	coding	implementation	high	[privacy, live_target]	none	claude	claude.opus5.xhigh	codex	codex.sol.high	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[production_mutation, credential_change, delete]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Owns persistence correctness, migration, query planning, replication, and recovery; application owners implement compatibility.	[database, data-safety, high-safety]	1.0	false
detection-engineer	security	security_defense	high	[dual_use]	none	claude	claude.opus5.high	codex	codex.sol.high	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[production_mutation]	true	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Heightened-risk defensive role; dual_use because it models attacker TTPs solely to detect them. Judgment over telemetry/coverage/false-positives is the dominant capability; Sol is the implementation backstop. Live SIEM/EDR rule deployment is operator-gated (production_mutation). Deployment routes to devops-engineer / site-reliability-engineer / the named platform owner — NOT game-engineer, except for explicitly game-runtime/anti-cheat detection. Global safety-refusal invariant applies.	[]	1.0	false
devops-engineer	coding	implementation	high	[live_target]	none	codex	codex.sol.ultra	claude	claude.opus5.high	codex	codex.sol.ultra	escalation.safety_floor.v1	claude	claude.opus5.high	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release, production_mutation, credential_change, delete]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	CI, Docker, infrastructure as code, and release rails.	[]	2.0	false
editor	content	content_text	medium	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Developmental editing stays Fable-primary; Gemini is the copy-edit backup.	[]	2.0	false
experimental-attacker	security	implementation	high	[dual_use, live_target]	none	kimi	kimi.k3.max	claude	claude.fable.max	kimi	kimi.k3.max	escalation.safety_floor.v1	codex	codex.sol.ultra	author_family	none	none	throughput.never.v1	failover.conservative.v1	[offensive_execution]	true	[Write, Bash, WebFetch]	[]	[chrono-dedup, chrono-vault, sequential-thinking]	Authorized high-volume experimental probing. Multi-lane by design (kimi primary, claude/claude.fable.max backup) so decorrelated families invent differently. Output from ANY lane is a lead only; independent validation by a different model family plus mandatory review are required, and ranked non-primary lanes require same-name adapters before dispatch.	[experimental, offensive]	1.0	false
exploit-developer	security	implementation	high	[dual_use, live_target]	none	codex	codex.sol.ultra	claude	claude.opus5.max	codex	codex.sol.ultra	escalation.safety_floor.v1	claude	claude.opus5.max	none	none	none	throughput.never.v1	failover.conservative.v1	[]	true	[Write, Bash, WebFetch]	[chrono-vault]	[chrono-dedup, chrono-research-arsenal, guarded-semgrep, guarded-slither, guarded-solodit, sequential-thinking]	Authorized PoC construction and repro harnesses; genuine refusals always surface.	[]	2.0	false
fable	shared	judgment	medium	[]	none	claude	claude.fable.max	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.ultra	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[]	[]	[chrono-vault]	Persona-blank Fable advisor for an independent, unbiased, prioritized second opinion; read-only except for its return artifact.	[]	2.0	false
frontend-engineer	coding	implementation	medium	[]	none	claude	claude.opus5.xhigh	codex	codex.sol.high	claude	claude.opus5.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release]	false	[Write, Bash, WebFetch]	[chrome-devtools, playwright]	[chrono-research-arsenal, chrono-vault, context7, sequential-thinking]	Frontend implementation with a probe-verified Gemini fresh-browser backup and Claude cross-family review; authenticated CDP :9222 remains Claude-specific. Stitch is partial and Figma is controller-smoked read-only.	[]	2.0	false
game-designer	content	game_design	medium	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Pipeline director for mechanics, experience, and economy; implementation routes to game-engineer. Firebase is login-gated and Higgsfield 3D is schema-observed partial with paid_media/get_cost requirements.	[]	3.0	false
game-engineer	coding	implementation	medium	[]	none	claude	claude.opus5.xhigh	codex	codex.sol.high	claude	claude.opus5.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Runtime owner in the staged game-production pipeline; engine and platform toolchains are task-specific prerequisites. Raw Higgsfield tools are Claude-child handoffs, schema-observed partial, and 3D generation requires paid_media plus get_cost:true.	[games, runtime, cross-platform]	1.0	false
growth-and-search-analyst	content	research_synthesis	low	[]	none	gemini	gemini.pro.deep	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.fable.xhigh	none	kimi	kimi.k2.7.bulk	throughput.downshift_gated.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Hybrid research_synthesis + content_text. Backup is codex — Kimi must NEVER be the quality backup. Kimi throughput is allowed ONLY for deterministic, supplied-data metadata templating under the conjunction gate; it EXCLUDES keyword research, SERP interpretation, analytics, recommendation, and schema selection, and any Kimi-mediated metered call requires a numeric external-budget-ceiling. Analytics exports may introduce privacy/financial tags, which dynamically disable Kimi throughput. needs_tool: no Search Console/analytics connector is wired — keyword/on-page/JSON-LD work proceeds; measured rankings/traffic/conversion/experiment impact require a verified connector or supplied export, else return needs_tool. Never fabricate pre/post impact.; degrades[Perplexity Sonar structured+recency]=truth-gated needs_tool; degrades[Stitch]=schema-only design handoff	[]	1.0	false
harness-optimizer	sysmgmt	judgment	medium	[live_target]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Audit-oriented prompt, tool, and script drift role; implementation charter remains a future split.	[]	2.0	false
image-designer	content	media_production	low	[]	none	gemini	gemini.flash.default	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.fable.xhigh	none	none	none	throughput.never.v1	failover.conservative.v1	[paid_media, public_release]	false	[Write, Bash, WebFetch]	[chrono-media-studio]	[chrono-vault, sequential-thinking]	Governed wrapper generation is required. Nanobanana and raw Higgsfield utilities are partial; the latter are schema-observed, unproven Claude-child tool names and every paid edit requires paid_media plus get_cost:true. Figma is controller-smoked read-only and Stitch is schema-only.	[]	2.0	false
impact-validator	security	security_reasoning	high	[dual_use, live_target]	none	claude	claude.opus5.max	codex	codex.sol.ultra	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.ultra	none	none	none	throughput.never.v1	failover.conservative.v1	[]	true	[Write, Bash, WebFetch]	[chrono-vault]	[chrono-dedup, chrono-research-arsenal, sequential-thinking]	Severity, CVSS, deduplication, and bounty impact judgment.	[]	2.0	false
incident-responder	security	security_defense	high	[privacy, live_target]	none	claude	claude.opus5.high	codex	codex.sol.high	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[production_mutation, credential_change, delete, cleanup, live_outreach]	true	[Write, Bash, WebFetch]	[chrono-vault]	[sequential-thinking]	Heightened-risk defensive role. Owns an active/suspected security incident end to end: evidence preservation, timeline, scope, containment plan, eradication, recovery, and lessons. Do NOT store raw incident PII in a general vault by default. Live containment/eradication/ recovery/notification actions are operator-gated (see operator_gate). Global safety-refusal invariant applies (failover.conservative.v1): a genuine refusal surfaces and is never cross-family re-dispatched in either direction.	[]	1.0	false
interactive-audio-designer	content	media_production	medium	[]	none	gemini	gemini.flash.default	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.fable.xhigh	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Hybrid media_production + implementation (audio middleware / event-wiring). The design role is tool-free (tool_profile:none): ElevenLabs rendering is a typed asset-request HANDOFF to music-composer / sound-designer / voice-narrator, and runtime integration is a handoff to game-engineer. Not an execution capability_gap — the design deliverable is complete without rendering; return needs_tool ONLY when the requested deliverable itself includes rendered audio and the downstream media tool is unavailable. Voice-likeness resemblance to a real person → route to asset-provenance-and-rights-auditor; never self-clear.	[]	1.0	false
kestrel	shared	judgment	medium	[]	none	kimi	kimi.k3.max	claude	claude.opus5.high	kimi	kimi.k3.max	escalation.signal.v1	codex	codex.sol.ultra	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[]	[]	[chrono-vault]	Persona-blank kimi.k3.max advisor for an independent, unbiased, prioritized second opinion; read-only except for its return artifact. MCP is lead-brokered on this lane.	[]	2.0	false
knowledge-librarian	sysmgmt	judgment	medium	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-obsidian, chrono-research-arsenal, chrono-vault, sequential-thinking]	Vault organization, links, and durable knowledge hygiene; Google Drive is a controller-smoked read path requiring typed handoff until squad-lane access is verified.	[]	2.0	false
large-context-analyst	research	research_synthesis	medium	[]	none	kimi	kimi.k3.high	claude	claude.opus5.xhigh	claude	claude.opus5.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Claude owns deep six-round research handoffs, but ultra-research remains needs_tool until its legacy plugin manifest passes live slash-command discovery. Direct metered tools require bounded opt-in; Perplexity remains partial with the truth gate, and Drive needs a controller handoff.; degrades[Google Drive]=typed controller handoff or needs_tool Kimi/K3 256k is the operator-ratified 2026-07 primary because the window is the capability; all five required methodology skills are authored shared docs and therefore lane-portable. Retrieval is lead-brokered on Kimi, so Perplexity is unavailable on this lane and Opus 5 remains backup and reviewer.	[]	2.0	true
level-narrative-designer	content	game_design	medium	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Hybrid game_design + content_text. Consumes the game-designer mechanics/experience/economy contract (design-v2 §7); owns level-specific pacing, quest/reward placement, and narrative structure, and PROPOSES economy changes rather than owning global economy/progression. Every referenced mechanic must exist in the upstream game-design contract; unimplementable runtime triggers are returned as unresolved requirements to game-engineer. Sensitive/regulated narrative themes raise task risk upward and require content review before ship.	[]	1.0	false
localization-specialist	content	content_text	low	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	content_text. DEVIATION from the low→downshift_gated default: throughput is none/never because K2.7-Code has no established general localization quality (Sol cross-review §9). Approved bulk adaptation routes to the Gemini backup lane at normal quality, NOT a Kimi throughput tier; revisit only if a locale eval proves Kimi adequate. Owns target-locale meaning/terminology/cultural adaptation/locale QA; regional-compliance findings are flagged (not adjudicated) and raise task risk upward. Back-translation is a diagnostic, not proof of cultural correctness.	[]	1.0	false
loop-operator	sysmgmt	judgment	high	[live_target]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[production_mutation]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Bounded autonomous loops, checkpoints, and stall detection.	[]	2.0	false
mac-ops	sysmgmt	judgment	high	[live_target]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[production_mutation, credential_change, delete, cleanup]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Local Mac and process hygiene, launchd, tmux, and shell environment.	[]	2.0	false
memory-curator	sysmgmt	judgment	medium	[privacy]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Memory, vault, brain-map hygiene, and public-private boundary checks.	[]	2.0	false
music-composer	content	media_production	low	[]	media.elevenlabs	gemini	gemini.flash.default	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.fable.xhigh	none	none	none	throughput.never.v1	failover.conservative.v1	[paid_media, public_release]	false	[Write, Bash, WebFetch]	[chrono-media-studio]	[chrono-vault, sequential-thinking]	Gemini/Lyria wrapper music is the primary route. ElevenLabs composition is a separate Claude sibling MCP and remains available-gated/unproven pending role-scoped credential and semantic receipts; otherwise produce a TBASF blueprint.	[]	2.0	false
performance-optimizer	coding	implementation	medium	[]	none	claude	claude.opus5.xhigh	codex	codex.sol.high	claude	claude.opus5.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Code and algorithmic profiling, benchmarking, and hot-path changes.	[]	2.0	false
planner	shared	judgment	medium	[]	none	claude	claude.fable.max	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Plans dispatch shape, write ownership, and parallel safety. Conductor is a partial spec-driven planning framework, not a swarm/subagent dispatcher; Drive access requires controller handoff.; degrades[Google Drive]=typed controller handoff or needs_tool	[]	2.0	false
privacy-steward	security	security_reasoning	high	[privacy]	none	claude	claude.opus5.high	codex	codex.sol.high	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	true	[Write, Bash, WebFetch]	[chrono-vault]	[chrono-research-arsenal, sequential-thinking]	Privacy, PII and data-flow, consent, and regulatory risk.	[]	2.0	false
product-manager	coding	judgment	medium	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Product shape, requirements, scope, and acceptance criteria. Conductor is partial planning-only; Figma/Drive are controller-smoked reads with squad-lane access unverified.; degrades[Google Drive]=typed controller handoff or needs_tool	[]	2.0	false
prompt-engineer	shared	judgment	medium	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Prompt quality, instruction adapters, target-family evaluation, and model fit. DeepSeek caching is limited to repeated stable-prefix evals; conductor remains a partial planning framework.	[]	2.0	false
red-team-operator	security	implementation	high	[dual_use, live_target]	none	codex	codex.sol.ultra	claude	claude.opus5.max	codex	codex.sol.ultra	escalation.safety_floor.v1	claude	claude.opus5.max	none	none	none	throughput.never.v1	failover.conservative.v1	[offensive_execution, production_mutation]	true	[Write, Bash, WebFetch]	[]	[chrono-dedup, chrono-vault, sequential-thinking]	Authorized end-to-end adversary emulation only. Every task requires explicit operator authorization + scope of engagement. Genuine refusals surface and are never retried cross-family.	[red_team, adversary_emulation]	1.0	false
refactor-cleaner	coding	implementation	high	[]	none	claude	claude.opus5.xhigh	codex	codex.sol.high	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[delete, cleanup]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Mechanical cleanup and behavior-preserving refactors; deletion remains operator-gated.	[]	2.0	false
research	research	research_synthesis	medium	[]	none	gemini	gemini.pro.deep	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.opus5.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-obsidian, chrono-research-arsenal, chrono-vault, sequential-thinking]	Grounded live search stays on Gemini. Deep six-round work routes to large-context-analyst@claude only after an ultra-research slash-command probe passes; the current legacy-manifest probe is needs_tool. Metered index diversity is optional, Perplexity remains truth-gated partial, and controller connectors require typed handoff.; degrades[Hugging Face]=typed controller handoff or needs_tool; degrades[Google Drive]=typed controller handoff or needs_tool	[]	2.0	false
reverse-engineer	security	security_reasoning	high	[dual_use]	none	codex	codex.sol.ultra	claude	claude.opus5.max	codex	codex.sol.ultra	escalation.safety_floor.v1	claude	claude.opus5.max	none	none	none	throughput.never.v1	failover.conservative.v1	[malware_detonation, production_mutation]	true	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Authorized binary/malware/firmware analysis. Unknown-sample execution requires verified isolation; outputs are analytical evidence, never weaponized derivatives. Global refusal-surfacing invariant applies.	[reverse_engineering, malware_analysis, firmware, untrusted_binary]	1.0	false
scout	security	security_reasoning	high	[dual_use, live_target]	none	claude	claude.opus5.high	codex	codex.sol.high	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	true	[Write, Bash, WebFetch]	[chrome-devtools, chrono-research-arsenal, playwright]	[chrono-dedup, chrono-recon, chrono-vault, sequential-thinking]	Authorized target selection, platform intelligence, and reconnaissance judgment; no refusal shopping. Apify and index-diversity calls require explicit scope, target authorization, and spend ceilings.	[]	2.0	false
scraping-engineer	coding	implementation	high	[dual_use, live_target]	none	codex	codex.sol.ultra	claude	claude.opus5.high	codex	codex.sol.ultra	escalation.safety_floor.v1	claude	claude.opus5.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	true	[Write, Bash, WebFetch]	[chrome-devtools]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Authorized browser extraction implementation; heightened-risk stealth and live-target work never bypasses refusal or operator boundaries. Apify Actor runs require target authorization and explicit spend/compute ceilings.	[]	2.0	false
security-analyst	security	security_reasoning	high	[dual_use]	none	codex	codex.sol.ultra	claude	claude.opus5.max	codex	codex.sol.ultra	escalation.safety_floor.v1	claude	claude.opus5.max	none	none	none	throughput.never.v1	failover.conservative.v1	[]	true	[Write, Bash, WebFetch]	[chrono-vault]	[chrono-recon, chrono-research-arsenal, guarded-semgrep, guarded-slither, guarded-solodit, sequential-thinking]	SAST, supply-chain, and vulnerability reasoning with Codex code-tracing support.	[]	2.0	false
site-reliability-engineer	coding	implementation	high	[live_target]	none	codex	codex.sol.ultra	claude	claude.opus5.high	codex	codex.sol.ultra	escalation.safety_floor.v1	claude	claude.opus5.high	none	none	none	throughput.never.v1	failover.conservative.v1	[production_mutation, credential_change, delete]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Owns production reliability objectives and recovery; DevOps owns provisioning and delivery automation.	[sre, production, high-safety]	1.0	false
skeptic	shared	judgment	medium	[]	none	claude	claude.fable.max	codex	codex.sol.ultra	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.ultra	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Independent challenge and review; exclude the writer family where possible.	[]	2.0	false
smart-contract-engineer	coding	implementation	high	[dual_use, financial]	none	claude	claude.opus5.xhigh	codex	codex.sol.high	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release]	true	[Write, Bash, WebFetch]	[]	[chrono-dedup, chrono-research-arsenal, chrono-vault, guarded-semgrep, guarded-slither, guarded-solodit, sequential-thinking]	Smart-contract implementation and audit mechanics; Claude reviews risk and impact.	[]	2.0	false
social-strategist	content	content_text	medium	[]	none	gemini	gemini.flash.default	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.fable.xhigh	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release, paid_media, live_outreach]	false	[Write, Bash, WebFetch]	[chrono-media-studio]	[chrono-vault, sequential-thinking]	Social and content strategy with grounded trend support. Virality preview/create is a partial Claude-child surface; paid creation requires paid_media and get_cost:true, while Drive access uses a controller handoff.; degrades[Brave Search]=typed Codex handoff; degrades[Serper]=typed Codex handoff; degrades[higgsfield__virality_predictor]=preview-only or TBASF blueprint; degrades[Google Drive]=typed controller handoff or needs_tool	[]	2.0	false
